File1,File2,TF-IDF Similarity,Semantic Similarity,Tense Change,Voice Change
org-001.txt,FID-001.txt,0.05,0.85,False,True
org-001.txt,FID-002.txt,0.04,0.83,False,False
org-001.txt,FID-003.txt,0.05,0.84,False,True
org-001.txt,FID-004.txt,0.07,0.82,True,True
org-001.txt,FID-005.txt,0.07,0.86,False,True
org-001.txt,FID-006.txt,0.08,0.86,False,True
org-001.txt,FID-007.txt,0.09,0.86,False,True
org-001.txt,FID-008.txt,0.02,0.77,False,True
org-001.txt,FID-009.txt,0.11,0.86,True,True
org-001.txt,FID-010.txt,0.15,0.88,False,True
org-001.txt,FID-011.txt,0.12,0.87,False,True
org-001.txt,FID-012.txt,0.06,0.85,False,True
org-001.txt,FID-013.txt,0.08,0.83,False,True
org-001.txt,FID-014.txt,0.05,0.85,False,True
org-001.txt,FID-015.txt,0.1,0.87,False,True
org-001.txt,FID-016.txt,0.17,0.93,False,True
org-001.txt,FID-017.txt,0.08,0.81,False,True
org-001.txt,FID-018.txt,0.11,0.89,False,True
org-001.txt,FID-019.txt,0.03,0.81,True,True
org-001.txt,FID-020.txt,0.11,0.89,False,True
org-001.txt,FID-021.txt,0.03,0.8,False,True
org-001.txt,FID-022.txt,0.08,0.85,False,True
org-001.txt,FID-023.txt,0.09,0.84,True,True
org-001.txt,FID-024.txt,0.01,0.8,False,True
org-001.txt,FID-025.txt,0.03,0.83,True,True
org-001.txt,FID-026.txt,0.11,0.83,False,True
org-001.txt,FID-027.txt,0.05,0.84,False,True
org-001.txt,FID-028.txt,0.1,0.84,False,True
org-001.txt,FID-029.txt,0.16,0.87,True,True
org-001.txt,FID-030.txt,0.09,0.84,False,True
org-002.txt,FID-001.txt,0.03,0.79,False,False
org-002.txt,FID-002.txt,0.02,0.75,False,True
org-002.txt,FID-003.txt,0.04,0.76,False,False
org-002.txt,FID-004.txt,0.06,0.74,True,False
org-002.txt,FID-005.txt,0.06,0.78,False,False
org-002.txt,FID-006.txt,0.05,0.78,False,False
org-002.txt,FID-007.txt,0.05,0.78,False,False
org-002.txt,FID-008.txt,0.01,0.7,False,False
org-002.txt,FID-009.txt,0.06,0.78,True,False
org-002.txt,FID-010.txt,0.15,0.82,False,False
org-002.txt,FID-011.txt,0.07,0.81,False,False
org-002.txt,FID-012.txt,0.03,0.77,False,False
org-002.txt,FID-013.txt,0.06,0.77,False,False
org-002.txt,FID-014.txt,0.05,0.78,False,False
org-002.txt,FID-015.txt,0.07,0.82,False,False
org-002.txt,FID-016.txt,0.17,0.9,False,False
org-002.txt,FID-017.txt,0.04,0.73,False,False
org-002.txt,FID-018.txt,0.11,0.83,False,False
org-002.txt,FID-019.txt,0.04,0.74,True,False
org-002.txt,FID-020.txt,0.09,0.82,False,False
org-002.txt,FID-021.txt,0.01,0.74,False,False
org-002.txt,FID-022.txt,0.06,0.77,False,False
org-002.txt,FID-023.txt,0.08,0.76,True,False
org-002.txt,FID-024.txt,0.01,0.72,False,False
org-002.txt,FID-025.txt,0.02,0.76,True,False
org-002.txt,FID-026.txt,0.13,0.77,False,False
org-002.txt,FID-027.txt,0.06,0.77,False,False
org-002.txt,FID-028.txt,0.09,0.8,False,False
org-002.txt,FID-029.txt,0.14,0.81,True,False
org-002.txt,FID-030.txt,0.04,0.77,False,False
org-003.txt,FID-001.txt,0.02,0.82,False,False
org-003.txt,FID-002.txt,0.02,0.77,False,True
org-003.txt,FID-003.txt,0.02,0.79,False,False
org-003.txt,FID-004.txt,0.01,0.73,True,False
org-003.txt,FID-005.txt,0.02,0.79,False,False
org-003.txt,FID-006.txt,0.02,0.79,False,False
org-003.txt,FID-007.txt,0.03,0.8,False,False
org-003.txt,FID-008.txt,0.02,0.73,False,False
org-003.txt,FID-009.txt,0.03,0.8,True,False
org-003.txt,FID-010.txt,0.08,0.83,False,False
org-003.txt,FID-011.txt,0.06,0.84,False,False
org-003.txt,FID-012.txt,0.02,0.8,False,False
org-003.txt,FID-013.txt,0.06,0.8,False,False
org-003.txt,FID-014.txt,0.03,0.79,False,False
org-003.txt,FID-015.txt,0.01,0.81,False,False
org-003.txt,FID-016.txt,0.11,0.92,False,False
org-003.txt,FID-017.txt,0.01,0.75,False,False
org-003.txt,FID-018.txt,0.06,0.85,False,False
org-003.txt,FID-019.txt,0.04,0.77,True,False
org-003.txt,FID-020.txt,0.05,0.84,False,False
org-003.txt,FID-021.txt,0.02,0.78,False,False
org-003.txt,FID-022.txt,0.03,0.8,False,False
org-003.txt,FID-023.txt,0.02,0.78,True,False
org-003.txt,FID-024.txt,0.04,0.75,False,False
org-003.txt,FID-025.txt,0.01,0.77,True,False
org-003.txt,FID-026.txt,0.07,0.77,False,False
org-003.txt,FID-027.txt,0.04,0.8,False,False
org-003.txt,FID-028.txt,0.06,0.82,False,False
org-003.txt,FID-029.txt,0.05,0.8,True,False
org-003.txt,FID-030.txt,0.02,0.78,False,False
org-004.txt,FID-001.txt,0.03,0.89,False,False
org-004.txt,FID-002.txt,0.02,0.87,False,True
org-004.txt,FID-003.txt,0.03,0.91,False,False
org-004.txt,FID-004.txt,0.04,0.86,True,False
org-004.txt,FID-005.txt,0.1,0.91,False,False
org-004.txt,FID-006.txt,0.08,0.91,False,False
org-004.txt,FID-007.txt,0.08,0.91,False,False
org-004.txt,FID-008.txt,0.03,0.82,False,False
org-004.txt,FID-009.txt,0.07,0.9,True,False
org-004.txt,FID-010.txt,0.08,0.87,False,False
org-004.txt,FID-011.txt,0.14,0.91,False,False
org-004.txt,FID-012.txt,0.1,0.89,False,False
org-004.txt,FID-013.txt,0.11,0.87,False,False
org-004.txt,FID-014.txt,0.1,0.88,False,False
org-004.txt,FID-015.txt,0.07,0.92,False,False
org-004.txt,FID-016.txt,0.17,0.88,False,False
org-004.txt,FID-017.txt,0.03,0.85,False,False
org-004.txt,FID-018.txt,0.15,0.89,False,False
org-004.txt,FID-019.txt,0.05,0.85,True,False
org-004.txt,FID-020.txt,0.1,0.93,False,False
org-004.txt,FID-021.txt,0.01,0.84,False,False
org-004.txt,FID-022.txt,0.11,0.91,False,False
org-004.txt,FID-023.txt,0.04,0.87,True,False
org-004.txt,FID-024.txt,0.03,0.88,False,False
org-004.txt,FID-025.txt,0.02,0.88,True,False
org-004.txt,FID-026.txt,0.1,0.82,False,False
org-004.txt,FID-027.txt,0.09,0.86,False,False
org-004.txt,FID-028.txt,0.09,0.86,False,False
org-004.txt,FID-029.txt,0.17,0.89,True,False
org-004.txt,FID-030.txt,0.08,0.88,False,False
org-005.txt,FID-001.txt,0.03,0.8,False,False
org-005.txt,FID-002.txt,0.01,0.75,False,True
org-005.txt,FID-003.txt,0.02,0.74,False,False
org-005.txt,FID-004.txt,0.04,0.74,True,False
org-005.txt,FID-005.txt,0.04,0.77,False,False
org-005.txt,FID-006.txt,0.06,0.78,False,False
org-005.txt,FID-007.txt,0.05,0.78,False,False
org-005.txt,FID-008.txt,0.03,0.72,False,False
org-005.txt,FID-009.txt,0.05,0.79,True,False
org-005.txt,FID-010.txt,0.16,0.84,False,False
org-005.txt,FID-011.txt,0.06,0.82,False,False
org-005.txt,FID-012.txt,0.04,0.78,False,False
org-005.txt,FID-013.txt,0.09,0.79,False,False
org-005.txt,FID-014.txt,0.03,0.8,False,False
org-005.txt,FID-015.txt,0.05,0.8,False,False
org-005.txt,FID-016.txt,0.16,0.93,False,False
org-005.txt,FID-017.txt,0.03,0.74,False,False
org-005.txt,FID-018.txt,0.14,0.85,False,False
org-005.txt,FID-019.txt,0.02,0.77,True,False
org-005.txt,FID-020.txt,0.04,0.81,False,False
org-005.txt,FID-021.txt,0.02,0.77,False,False
org-005.txt,FID-022.txt,0.03,0.76,False,False
org-005.txt,FID-023.txt,0.05,0.76,True,False
org-005.txt,FID-024.txt,0.03,0.73,False,False
org-005.txt,FID-025.txt,0.02,0.75,True,False
org-005.txt,FID-026.txt,0.14,0.79,False,False
org-005.txt,FID-027.txt,0.05,0.8,False,False
org-005.txt,FID-028.txt,0.1,0.81,False,False
org-005.txt,FID-029.txt,0.14,0.8,True,False
org-005.txt,FID-030.txt,0.04,0.78,False,False
org-006.txt,FID-001.txt,0.03,0.84,False,False
org-006.txt,FID-002.txt,0.05,0.83,False,True
org-006.txt,FID-003.txt,0.04,0.84,False,False
org-006.txt,FID-004.txt,0.07,0.83,True,False
org-006.txt,FID-005.txt,0.06,0.87,False,False
org-006.txt,FID-006.txt,0.15,0.85,False,False
org-006.txt,FID-007.txt,0.1,0.86,False,False
org-006.txt,FID-008.txt,0.05,0.78,False,False
org-006.txt,FID-009.txt,0.13,0.87,True,False
org-006.txt,FID-010.txt,0.08,0.85,False,False
org-006.txt,FID-011.txt,0.11,0.87,False,False
org-006.txt,FID-012.txt,0.03,0.82,False,False
org-006.txt,FID-013.txt,0.09,0.82,False,False
org-006.txt,FID-014.txt,0.03,0.84,False,False
org-006.txt,FID-015.txt,0.24,0.91,False,False
org-006.txt,FID-016.txt,0.1,0.9,False,False
org-006.txt,FID-017.txt,0.15,0.82,False,False
org-006.txt,FID-018.txt,0.12,0.88,False,False
org-006.txt,FID-019.txt,0.06,0.8,True,False
org-006.txt,FID-020.txt,0.08,0.88,False,False
org-006.txt,FID-021.txt,0.01,0.8,False,False
org-006.txt,FID-022.txt,0.08,0.83,False,False
org-006.txt,FID-023.txt,0.06,0.84,True,False
org-006.txt,FID-024.txt,0.01,0.8,False,False
org-006.txt,FID-025.txt,0.01,0.82,True,False
org-006.txt,FID-026.txt,0.09,0.81,False,False
org-006.txt,FID-027.txt,0.03,0.84,False,False
org-006.txt,FID-028.txt,0.14,0.84,False,False
org-006.txt,FID-029.txt,0.17,0.86,True,False
org-006.txt,FID-030.txt,0.14,0.85,False,False
org-007.txt,FID-001.txt,0.04,0.88,True,False
org-007.txt,FID-002.txt,0.07,0.87,True,True
org-007.txt,FID-003.txt,0.04,0.88,True,False
org-007.txt,FID-004.txt,0.07,0.87,False,False
org-007.txt,FID-005.txt,0.11,0.9,True,False
org-007.txt,FID-006.txt,0.09,0.9,True,False
org-007.txt,FID-007.txt,0.07,0.9,True,False
org-007.txt,FID-008.txt,0.03,0.81,True,False
org-007.txt,FID-009.txt,0.1,0.9,False,False
org-007.txt,FID-010.txt,0.09,0.88,True,False
org-007.txt,FID-011.txt,0.09,0.9,True,False
org-007.txt,FID-012.txt,0.1,0.88,True,False
org-007.txt,FID-013.txt,0.07,0.86,True,False
org-007.txt,FID-014.txt,0.07,0.88,True,False
org-007.txt,FID-015.txt,0.12,0.91,True,False
